name, version, version_created, version_downloads, homepage, dependencies
hybook, 0.2.1, 2015-04-02, 2938, https://github.com/hybook/hybook, activesupport | gli | logutils | markdown | props | textutils
fetcher, 0.4.5, 2015-03-31, 84419, https://github.com/rubylibs/fetcher, logutils
logutils-activerecord, 0.2.1, 2015-02-28, 79468, https://github.com/rubylibs/logutils-activerecord, activerecord | logutils
schemadoc, 1.1.0, 2015-02-16, 3445, https://github.com/rubylibs/schemadoc, fetcher | logutils
dbbrowser, 0.2.0, 2015-02-04, 3279, https://github.com/rubylibs/dbbrowser, activerecord | activerecord-utils | sinatra | textutils
feedfilter, 1.1.1, 2015-01-18, 73390, https://github.com/feedreader/feed.filter, textutils
pluto-admin, 1.0.0, 2015-01-18, 2874, https://github.com/feedreader/pluto.admin, pluto-models | sinatra
preproc, 0.1.0, 2015-01-09, 5749, https://github.com/rubylibs/preproc, fetcher | logutils
feedutils, 0.5.1, 2015-01-06, 3019, https://github.com/rubylibs/feedutils, logutils
markdown, 1.2.0, 2014-12-06, 72682, https://github.com/rubylibs/markdown, kramdown | props | textutils
markdown-service, 1.2.0, 2014-12-06, 2943, https://github.com/rubylibs/markdown-service, markdown | sinatra
markdown-tools, 1.2.0, 2014-12-06, 2914, https://github.com/rubylibs/markdown-tools, markdown | markdown-service
logutils-admin, 0.1.0, 2014-12-05, 2888, https://github.com/rubylibs/logutils-admin, activerecord | logutils | logutils-activerecord | sinatra
logutils, 0.6.1, 2014-12-04, 169324, https://github.com/rubylibs/logutils,
linkto, 0.1.1, 2014-03-16, 3107, https://github.com/rubylibs/linkto, logutils
about, 0.1.0, 2013-10-12, 6856, https://github.com/rubylibs/about, logutils | textutils
activerecord-importer, 0.3.1, 2012-12-05, 7524, https://github.com/geraldb/activerecord-importer, activerecord-import
